,Authors,Abstract
S,Crosby A.,"In the early days of cannabis legalization, certain Indigenous communities and businesses are asserting jurisdictional authority and refuse to acknowledge federal and provincial sovereignty on their territories. This has led, in some cases, to police intervention. This article examines jurisdictional contestations on Indigenous lands in relation to cannabis legalization, providing insight on the responses of government and law enforcement. The Canadian approach may have lasting implications for reconciliation and Indigenous relations beyond the cannabis field. © The Institute of Public Administration of Canada/L'Institut d'administration publique du Canada 2019"
S,Turley P.; Wang W.; Hefner F.,"Cannabis is a controversial product, and cannabis-related businesses (CRB) currently are constrained at the federal level and in many states where the use of cannabis is illegal. To analyze whether these constraints and controversies affected performance, we created a portfolio containing cannabis firms and their stocks to measure growth and stock performance. We compared the performance of the cannabis industry with other similar “sin” industries. We found that despite the constraints and controversies surrounding the industry, firms in the cannabis industry have high growth rates and their stocks perform favorably compared to broad indexes and other “sin” industries. Based on some valuation metrics, cannabis stocks currently are undervalued. Copyright 2024 With Intelligence LLC."
S,Dinieri J.A.; Hurd Y.L.,"Marijuana (Cannabis sativa) is the illicit drug most commonly used by two vulnerable populations relevant to neurodevelopment-pregnant women and teenagers. Human longitudinal studies have linked prenatal and adolescent cannabis exposure with long-term behavioral abnormalities as well as increased vulnerability to neuropsychiatric disorders in adulthood. Animal models provide a means of studying the neurobiological mechanisms underlying these long-term effects. This chapter provides an overview of the animal models we have used to study the developmental impact of cannabis. © 2012 Springer Science+Business Media, LLC."
S,Walley A.Y.; Krupitsky E.M.; Cheng D.M.; Raj A.; Edwards E.M.; Bridden C.; Egorova V.Y.; Zvartau E.E.; Woody G.E.; Samet J.H.,"Cannabis and heavy alcohol use potentially increase HIV transmission by increasing risky drug behaviors. We studied 404 subjects entering treatment for heroin dependence, in St. Petersburg, Russia. We used the HIV Risk Assessment Battery (RAB) drug subscale to measure risky drug behavior. Although all heavy alcohol users had risky drug behaviors, their drug RAB scores did not differ from non-heavy alcohol users in unadjusted or adjusted analyses. Cannabis use was significantly associated with drug RAB scores in unadjusted analyses (mean difference 1.7 points) and analyses adjusted for age, sex, and employment (mean difference 1.3 points). When also adjusting for stimulant use, the impact of cannabis use was attenuated and no longer statistically significant (mean difference 1.1 points). Because of the central role of risky drug behaviors in the Russian HIV epidemic, it is important to understand how the use of multiple substances, including cannabis and alcohol, impacts risky drug behaviors. © 2007 Springer Science+Business Media, LLC."
S,Kinney A.B.,"This article presents a case study of commercial cannabis in the United States. Drawing on 56 interviews with cannabis stakeholders collected between 2018-2020, I examine how different governmentalities of surveillance became distorted by the contradiction between state and federal cannabis laws. As in other regulated markets, these governmentalities informed state-sponsored surveillance initiatives to stop, contain, or support certain forms of deviance by commercial cannabis businesses. Due to fragmented governance, the efficacy of these initiatives depended in part upon the actions of the regulated cannabis industry. Commercial cannabis businesses looked to how surveillance was configured to develop strategies that could help them overcome challenges stemming from their semi-legality. These strategies included incorporating practices that were not required by law, partnering with the state in surveillance efforts, and engaging in activities to combat the black market. I argue that the embedded relationship between governmentalities, surveillance initiatives, and commercial cannabis activities transformed these strategies into mechanisms through which structure emerged in this nascent market. This paper introduces a set of surveillance categories, proposes new directions for research on social control and markets, and offers a novel study of commercial cannabis that can help to explain the trajectory of this market. © The Author(s) 2022. Published by Oxford University Press on behalf of the Society for the Study of Social Problems. All rights reserved."
S,Peč J.; Flores-Sanchez I.J.; Choi Y.H.; Verpoorte R.,"Cannabis sativa L. plants produce a diverse array of secondary metabolites. Cannabis cell cultures were treated with jasmonic acid (JA) and pectin as elicitors to evaluate their effect on metabolism from two cell lines using NMR spectroscopy and multivariate data analysis. According to principal component analysis (PCA) and partial least square-discriminant analysis (PLS-DA), the chloroform extract of the pectin-treated cultures were more different than control and JA-treated cultures; but in the methanol/water extract the metabolome of the JA-treated cells showed clear differences with control and pectin-treated cultures. Tyrosol, an antioxidant metabolite, was detected in cannabis cell cultures. The tyrosol content increased after eliciting with JA. © 2010 Springer Science+Business Media B.V."
S,Amiri S.; Monsivais P.; McDonell M.G.; Amram O.,"Introduction and Aims: In states where recreational use of cannabis has been legalised, increasing numbers of cannabis licensed cannabis businesses resulted in concerns about their potential social and health impacts. This study examined spatiotemporal variations in availability of cannabis licensed cannabis businesses (i.e. producers, processors and retailers) in relation to area deprivation in Washington state from 2014 to 2017. Design and Methods: Data on licensed cannabis businesses were obtained from the Washington State Liquor and Cannabis Board. The number of licensed cannabis businesses was estimated for Washington's 1446 census tracts. Census tracts were stratified into tertiles based on the Singh's Area Deprivation Index showing socio-economic characteristics of communities (least-deprived, middle-deprived and most-deprived). The Integrated Nested Laplace Approximation approach allowed for the spatial and temporal characterisation of cannabis businesses, accounting for similarities based on neighbouring census tracts. Results: The density of all licensed cannabis outlets increased over time. Most-deprived areas have increased likelihood of licensed cannabis outlet density when compared to least-deprived areas. No differences were observed in the likelihood of licensed cannabis outlet density in middle-deprived areas when compared to least-deprived areas. Discussion and Conclusions: The results of this study showed disparity with respect to licensed cannabis outlet density in Washington state over time. The findings call for initiatives, policies and research that decrease disparities in cannabis outlet locations. © 2019 Australasian Professional Society on Alcohol and other Drugs"
S,Rotering T.L.; Lempert L.K.; Glantz S.A.,"Introduction: Secondhand cannabis smoke, like secondhand tobacco smoke, creates unhealthy indoor air quality. Ventilation and engineering techniques cannot reduce this pollution to healthy levels, and complete smoke-free policies are the only way to provide healthy indoor environments. Even so, multiple state and local governments have begun to allow indoor smoking of cannabis in businesses. Methods: A systematic search of Lexis Advance, NewsBank, and government websites for U.S. state and local laws passed between November 6, 2012 and June 10, 2020 that permit and regulate onsite cannabis consumption businesses was conducted in February–July 2020. Results: In total, 6 of 11 states and the District of Columbia that legalized adult-use cannabis as of June 10, 2020 allowed onsite consumption and ≥56 localities within these 6 states allowed onsite cannabis consumption. Only 9% (5/56) of localities ban indoor smoking in these businesses; 23% (13/56) require indoor smoking to occur in physically isolated rooms. Other common local legal requirements address onsite odor control, ventilation/filtration, and building location. Conclusions: The majority of the localities that allow onsite cannabis consumption do not explicitly prohibit smoking or vaping inside. Policymakers should be made aware that ventilation and other engineering interventions cannot fully protect workers and patrons. Health authorities and local leaders should educate policymakers on the science of secondhand smoke remediation and advocate for the same standards for secondhand cannabis smoking and vaping that apply to tobacco, particularly because other modes of cannabis administration do not pollute the air. © 2021 American Journal of Preventive Medicine"
S,STOA R.B.,"Many celebrate cannabis legalization as a long-overdue rectification of a drug policy that has oppressed and incarcerated people in vulnerable communities for decades. But as the legalization era continues and the legal cannabis industry starts to take shape, legalization advocates and industry stakeholders must reckon with a sobering reality: the benefits of legalization are not being equitably shared, and vulnerable communities that were hit the hardest during the war on drugs are not well represented in legal cannabis markets. This reality is as true for stakeholders of cannabis agriculture as it is for other sectors of the cannabis industry. As the first step in the supply chain, the cultivation of cannabis sets the tone for the industry as a whole. A wellregulated, equitable, and sustainable cannabis agriculture industry has significant catalytic potential for downstream market participants. Unfortunately, however, the cannabis agriculture industry suffers from many equity shortfalls. This Essay will explore three of these shortfalls: (1) access to agricultural lands and start-up capital, (2) cultivation licenses and state distribution of benefits, and (3) labor standards and farmworker protections. While there are many more equity issues facing cannabis agriculture, this Essay shines a light on these three while identifying areas of concern for future research. It is clear that stakeholders of cannabis agriculture, including regulators and business owners, can and should prioritize equity and participation in the development of their industry. © 2021 Boston University Law Review. All rights reserved."
S,Henning K.; Matsuda M.; Stewart G.,"As more states legalize recreational cannabis, questions remain about the impact of this transition for police who continue to be responsible for enforcing laws governing illicit production and distribution of the drug, use of the substance in prohibited settings, and possession by juveniles. Legalization may also lead to additional responsibilities, including policing homegrown cannabis and licensed businesses involved in cultivating, processing, and selling the drug. Documenting the experience of law enforcement officers in states that have already transitioned to a legal market may provide important insights into the implementation of cannabis policies in other jurisdictions. The present study surveyed 301 law enforcement officers in Oregon three years after the state legalized recreational marijuana. Results indicate that officers perceive increases in many marijuana-related problems following legalization and most officers report that the state’s revised statutes are confusing and difficult to enforce. Implications for public policy are discussed. © The Author(s) 2022."
S,Tarter R.E.; Kirisci L.; Ridenour T.; Vanyukov M.,"A prospective investigation was conducted to evaluate the accuracy of internalizing and externalizing traits measured at ages 10-12 for predicting a DSM-IV diagnosis of cannabis use disorder manifest by age 22. The sample consisted of 189 boys rated on the Child Behavior Checklist (CBCL) by their biological mothers. The results indicated that externalizing but not internalizing disturbance was a significant predictor of cannabis use disorder. Moreover, a construct capturing their common variance did not predict cannabis use disorder better than externalizing behavior alone. © 2008 Springer Science+Business Media, LLC."
S,Kinney A.B.,"This study examines how regulated cannabis businesses normalize their trade in the United States. Using interviews (N = 56) and a cross-sectional survey of cannabis professionals (N = 144), I find that the U.S. cannabis industry employs three strategies: (1) Using deviant practices to engage in legitimate business, (2) Reconciling divergent cultural frames for reducing stigma against the cannabis industry, and (3) Changing discursive repertoires that uniquely stigmatize cannabis and cannabis users. I argue that each strategy constitutes a new analytical category of social skill that contested industries leverage in a gray market context. © The Author(s) 2023."
S,Lachman J.; López A.; Gómez-Roca S.,"In recent years, cannabis legalization has made progress in different countries. Legalization aims at generating new business opportunities and tax revenues as well as reducing or eliminating the illegal market. Some Latin American governments which joined this wave also had the objective of promoting investments and exports. However, these expectations have yet to be fully validated. Although investments have arrived, so far export activity is very weak and domestic markets are still small. The objective of this paper is to show that even when the demand, the entrepreneurship and the technical knowledge needed to develop a cannabis industry were available, the creation of the institutional infrastructure required for guaranteeing a sound transition from black to legal markets has been a slow process of trial and error, which has curbed growth rates in this new industry. While cannabis offers an opportunity for productive diversification in the region, the design of the appropriate institutional setting for seizing that opportunity demands time and strong interactions among the sector's stakeholders. © 2022 Institut des Hautes Etudes de l'Amerique Latine (IHEAL). All rights reserved."
S,Owens-Ott G.S.,"Background: Cannabis-related businesses (CRBs), in states where cannabis is legal, may be unable to obtain professional financial services including banking, insurance, and accounting because of federal laws and regulations. This qualitative study investigated the following research questions.1.Why are some Certified Public Accountants unwilling to provide services to cannabis-related businesses?2.How do CRBs compensate for lack of Certified Public Accountant services?3.What does a certified public accountant need to know about the cannabis industry prior to engaging to provide services to CRBs? Methods: Data for this grounded-theory qualitative study was gathered from twenty-three semi-structured phone and face-to-face interviews. Ten cannabis-related business owners were recruited from a convenience sample after attempting a broad recruiting effort. Thirteen Certified Public Accountants with active licenses in Colorado or Washington State participated from firms of varying size and willingness to serve the cannabis industry. The individual interviews, which lasted from twenty minutes to more than an hour, focused on the participants’ perceptions of the complexities of accounting and tax compliance for cannabis businesses. Results: Eight of the thirteen Certified Public Accountants interviewed would not provide services to the cannabis industry with the primary reason given that cannabis is federally illegal. All ten of the cannabis business owners interviewed indicated they engage a Certified Public Accountant to provide tax services. Seven out of ten CRB participants and ten of the thirteen Certified Public Accountant participants indicated that extensive industry knowledge is needed for an accountant to competently provide services to a CRB. Conclusions: CRB owners need to carefully consider the industry knowledge and experience of a potential Certified Public Accountant prior to engaging them. This study shows that US Certified Public Accountants should weigh the risk of federal prosecution and potential loss of the Certified Public Accountant license when deciding whether to serve a CRB client. The study also found that a Certified Public Accountant must commit to acquiring and maintaining substantial specialized knowledge related to tax Code Section 280E, internal controls for a cash-only or cash-intensive business, and the workings of the cannabis industry under the current regulatory conditions. © 2020, The Author(s)."
S,Trangenstein P.J.; Whitehill J.M.; Jenkins M.C.; Jernigan D.H.; Moreno M.A.,"Objective: Health consequences of commercializing nonmedical cannabis remain unclear, but data suggest that youth may encounter unintended risks. This study examined whether cannabis marketing exposure and engagement are associated with problematic cannabis use among adolescents. Method: The analytic sample included 172 lifetime cannabis users (15–19 years old) who lived in one of six states with legalized nonmedical cannabis in 2018. Predictors included having exposure to or engagement with cannabis marketing on Facebook or Instagram, seeing cannabis billboards, owning/likely to own cannabisbranded merchandise, and reporting a favorite cannabis brand. Logistic regression assessed whether these predictors were associated with weekly cannabis use, high-intensity cannabis use, and cannabis use disorder (CUD). Results: Adolescents who saw billboards rarely/sometimes had 5 times the odds of CUD, whereas youth who saw them most/all of the time had 7 times the odds of weekly use and 6 times the odds of CUD. Adolescents who owned/were likely to own branded merchandise had nearly 23 times the odds of weekly use, and those with a favorite brand had 3 times the odds of weekly use and CUD. Adolescents who reported seeing promotions on Instagram rarely/sometimes had 85% lower odds of weekly use, and those who saw them most/all of the time had 93% lower odds. Conclusions: The ways cannabis businesses market their products, especially branding, may affect patterns of underage cannabis use. Future research should test whether these associations persist in longitudinal designs. In the interim, states should consider an approach that offers youth additional means to protect them from cannabis marketing. (J. Stud. Alcohol Drugs, 82, 288–296, 2021). © 2021, Alcohol Research Documentation Inc.. All rights reserved."
S,Adrian M.,"Over time, there have been considerable changes in the variety, availability, production, distribution, and use and user(s) of psychoactive substances, the meaning of substance use and its impact on users and their social or physical environment(s). This article reviews the mechanisms of introduction of psychoactive substances such as alcohol, tobacco, coffee, tea and cannabis to populations and communities that did not have them before. It considers the historical tension between early adopters who greet new substances with various levels of enthusiasm in their eagerness to enjoy what they believe to be the benefits of using these substances, and those focused on what they believe to be the negative aspects of use, who decry these new substances with horror. With more nonusers than users in the population, social policies tend to be directed at preventing, restricting, or punishing selected use, users and.drugs., using controls and interventions such regulation, incarceration, death sentence, treatment, prevention, legalization, taxation, among others. Whatever their intent or wished-for impact, all had consequences that produced additional, unplanned for, and (often) negative effects. This paper will consider some of these sequences as they occurred historically with other substances in light of the current shift to legalization and normalization of cannabis, noting the mechanisms of use, controls, and consequences of some types of formal interventions and give some attention to how and what we can learn from our experiences in order to plan ahead and become better prepared to successfully deal with the unexpecteds of that well-known hell paved with good intentions. © 2015 Taylor and Francis Group, LLC."
S,Soriano-Co M.; Batke M.; Cappell M.S.,"Goals/Background: The cannabis hyperemesis syndrome, which is associated with chronic cannabis use, was recently reported in seven case reports and one clinical series of ten patients from Australia. We further characterize this syndrome with eight well-documented cases in the United States and report results of cannabis discontinuation and cannabis rechallenge. Study Methods: Patients were identified by the three investigators in gastroenterology clinic or inpatient wards at William Beaumont Hospital from January to August 2009 based on chronic cannabis use; otherwise unexplained refractory, recurrent vomiting; and compulsive bathing. Charts were retrospectively analyzed with follow-up data obtained from subsequent physician visits and patient interviews. Results: The eight patients on average were 32.4 ± 4.1 years old. Five were male. The mean interval between the onset of cannabis use and development of recurrent vomiting was 19.0 ± 3.7 years. Patients had a mean of 7.1 ± 4.3 emergency room visits, 5.0 ± 2.7 clinic visits, and 3.1 ± 1.9 admissions for this syndrome. All patients had visited at least one other hospital in addition to Beaumont Hospital. All patients had vomiting (mean vomiting episodes every 3.0 ± 1.7 h), compulsive bathing (mean = 5.0 ± 2.0 baths or showers/day; mean total bathing time = 5.0 ± 5.1 h/day), and abdominal pain. Seven patients took hot baths or showers, and seven patients experienced polydipsia. Four out of five patients who discontinued cannabis use recovered from the syndrome, while the other three patients who continued cannabis use, despite recommendations for cessation, continued to have this syndrome. Among those four who recovered, one patient had recurrence of vomiting and compulsive bathing with cannabis resumption. Conclusions: Cannabis hyperemesis is characterized by otherwise unexplained recurrent nausea and vomiting, compulsive bathing, abdominal pain, and polydipsia associated with chronic cannabis use. This syndrome can occur in the United States as well as in Australia. Cannabis cessation may result in complete symptomatic recovery. © 2010 Springer Science+Business Media, LLC."
S,Rhee J.U.; Vieira V.M.; Firth C.L.; Pedersen E.R.; Dunbar M.S.; Timberlake D.S.,"Objective: Cannabis and tobacco retailers are believed to cluster in areas with more racial/ethnic minorities, which could account for the disproportionate use of blunts in Black and Hispanic communities. The current study examined the spatial relationship between cannabis and licensed tobacco retailers in Los Angeles County, California, and assessed whether various neighborhood and business factors influenced the spatial patterning. Method: Generalized additive models were used to test the association between the location of cannabis retailers (N = 429) and their accessibility potential (AP) to tobacco retailers (N = 8,033). The covariates included cannabis licensure status, median household income, population density, percentages of racial/ ethnic minorities and young adults (18–34), unemployment status, families living in poverty, minimum completion of high school/General Educational Development (GED) credential, and industrial businesses by census tract. Results: The location of cannabis retailers was significantly associated with AP in all adjusted models (p <.005). The percentage of racial/ethnic minorities, age (18–34 years), and nonlicensure of cannabis retailers, which were positively correlated with AP (p <.05), confounded the association between AP and cannabis retailer location. Conclusions: The concentration of unlicensed cannabis retailers and tobacco retailers in young and racially/ethnically diverse neighborhoods may increase access to and use of cigarillos for blunt smoking. Jurisdictions within Los Angeles County should consider passing ordinances requiring minimum distances between cannabis and tobacco retailers. © 2022, Alcohol Research Documentation Inc. All rights reserved."
S,Stack R.; Gould S.; Malsch B.,"Research methodology: This case was developed using a mixture of publicly available documents created by the partner community, general information from public sources like the First Nations Finance Authority (FNFA) website and Government of Canada websites, and personal and first-hand experience of the indigenous coauthor, Storm Gould. Case overview/synopsis: Wisikk is a Mi’kmaq sovereign reserve territory located in Mi’kmaq’ki in the place that settler governments call Nova Scotia. The community has existed in its location since time immemorial and has been recognized by the settler government since the early 19th century. An opportunity for community-run business has arisen for Wisikk based on the legalization of cannabis throughout Canada in 2018. This case’s protagonist is the community’s Vice-President for Business Development, Andrew Googoo, as he considers bringing a proposal for a cannabis retailing venture to the Chief and Council. Cannabis legalization in Canada left sales policies to the provinces and was silent as to the rules governing cannabis sales by indigenous communities on their sovereign territory. Considering both potential negative impacts to the community, as well as the potential financial benefits from a successful reserve-based cannabis dispensary, Andrew must soon present his initial findings to the Chief and Council for their deliberation and decision. Any venture undertaken by the reserve would require a loan from the FNFA, so Andrew must also consider the projections and reports that the FNFA would require to support their lending decision. Complexity academic level: The case is appropriate for mid-level or capstone undergraduate and graduate business courses, especially those focused on entrepreneurship, business ownership or indigenous ownership. The case was originally developed for the accounting division of an international undergraduate case competition. In addition to accounting concepts like pro forma/budgeted income statements and decision analysis, it is intended to showcase some legal and cultural features of community-led indigenous business ventures. The idea is for students to explore concepts of sovereignty, community involvement and broader stakeholder impact, as well as more technical accounting and financial concepts. © 2023, Emerald Publishing Limited."
S,Crane N.A.; Schuster R.M.; Fusar-Poli P.; Gonzalez R.,"Decades of research have examined the effects of cannabis on neurocognition. Recent advances in this field provide us with a better understanding of how cannabis use influences neurocognition both acutely (during intoxication) and non-acutely (after acute effects subside). Evidence of problems with episodic memory is one of the most consistent findings reported; however, several other neurocognitive domains appear to be adversely affected by cannabis use under various conditions. There is significant variability in findings across studies, thus a discussion of potential moderators is increasingly relevant. The purpose of this review was to 1) provide an update on research of cannabis' acute and non-acute effects on neurocognition, with a focus on findings since 2007 and 2) suggest and discuss how neurodevelopmental issues and sex differences may influence cannabis effects on neurocognition. Finally we discuss how future investigations may lead to better understanding of the complex interplay among cannabis, stages of neurodevelopment, and sex on neurocognitive functioning. © 2012 Springer Science+Business Media New York."
S,Carlini B.H.; Garrett S.; Firth C.; Pinsky I.,"Objective: The purpose of this study was to describe marketing violations from the cannabis industry in Washington State. Method: The study team obtained records of all Washington State cannabis marketing violations from October 2014 to September 2015, immediately following the legal cannabis market opening, and May 2017 to July 2019. A code book was developed based on the Washington State regulations related to marijuana advertising. Each marketing violation was coded according to ad characteristics including ad size, location, or type; content; business practices; and lack of mandatory health warnings. Results: A total of 328 violations were analyzed, from 183 different businesses. Marketing violations occurred most frequently in content posted online or directly in front of cannabis stores. Community members were as likely to identify violations as officers from the Washington State Liquor and Cannabis Board (WSLCB), the state agency in charge of regulation and enforcement of cannabis businesses. Very few violations were reported from competing members of the cannabis industry. Violations reported by the community were mostly related to content appealing to minors, whereas WSLCB officers were more likely to identify violations related to ad location in public spaces and ad size. Conclusions: This study shows the conflict between prevention and profit in the nascent cannabis industry and the importance of community involvement in the regulation of cannabis marketing. © 2022, Alcohol Research Documentation Inc.. All rights reserved."
S,Sorensen J.L.; van Draanen J.; Shingle M.,"Background and Objectives: Legalization of recreational cannabis is occurring across the United States, with some controversy. To understand the range of issues that can arise when such a policy change is enacted, we examined portrayal of legalization at the local level by studying newspaper articles in Calgary, Alberta, shortly before and after cannabis legalization in Canada. Method: We searched the largest-circulation newspaper for cannabis-related items and analyzed for content and slant toward cannabis legalization. Results: Among 165 items, business/economics (70.9% of items) and legalization (69.7%) were most frequent, with health only 29.7%. Across all items, the slant was more approval (44.2%) than disapproval (23.0%). Discussion and Conclusions: When cannabis was legalized, the local newspaper focused more on economic aspects of legalization rather than about health issues. Further research can determine the generalizability of the findings to other locales and provide comparison as other similar policy changes roll out. Scientific Significance: The study provides new information on what happens when drug policies are enacted. Documenting the media portrayal of substance use policies is a promising tool. © 2022 American Academy of Addiction Psychiatry"
S,Chen F.; Choi S.; Fu C.; Nycholat J.,"This paper analyzes the historical stock returns of 10 medicinal cannabis companies for the period between 2015 and 2020, when the legalization of recreational cannabis was debated in Canada. The results of our analysis indicate that the industry was responsive to the announcements of regulatory change that led towards legalization. Furthermore, we compare the performance of cannabis companies to that of similar businesses. The results of the comparative analysis indicate that the performance of the matched pairs is largely correlated over time. Additionally, the pre-legalization performance of cannabis companies was better than their post-legalization performance. Given that cannabis companies did not outperform their matched pair, we can confirm that legalization did not have a significantly positive effect on the industry. We can also infer that, from a stock market perspective, the legalization of recreational cannabis has been unsuccessful thus far. © 2021 Economic Society of Australia, Queensland"
S,Bonn-Miller M.O.; Oser M.L.; Bucossi M.M.; Trafton J.A.,"Occasional cannabis use has been associated with increased antiretroviral therapy (ART) adherence and relief of HIV symptoms, while heavy use has been associated with low ART adherence and negative psychological symptoms. The purpose of the present study was to investigate differences between non-cannabis use (NC), non-dependent cannabis use (C), and dependent use (CD) in terms of ART adherence and HIV symptoms/ART side effects. A cross-sectional sample of 180 HIV+ individuals (78.3 % male) completed measures of substance use and psychopathology, medication adherence, and HIV symptoms/ART side effects. Adherence was also measured via pill count, viral load, and CD4 count. Results indicated that the CD group reported lower adherence and greater HIV symptoms/ART side effects than the other two groups, with no differences observed between NC and C groups. There is a clinical need to address dependent cannabis use among those prescribed ART. Further examination is needed to ascertain the functions of cannabis use among individuals with HIV. © 2012 Springer Science+Business Media New York (outside the USA)."
S,Dupej S.; Nepal S.K.,"The 2018 legalization of cannabis in Canada provides an opportunity within a federally legalized context to offer recreational and leisure experiences that incorporate the purchase, consumption, production, and education of cannabis. The establishment of cannabis tourism as a tolerated and increasingly widespread and socially significant practice under the frameworks of legalization and normalization challenges its association with deviance in the tourism literature. The purpose of this article to rethink cannabis tourism as an agent of normalization. In adopting cannabis as a resource, the tourism industry sets standards that become embedded in a broader context of social acceptance. Evidence from a study that documents cannabis tourism in Canada in the first few years following legalization is used to illustrate how tourism suppliers have adopted cannabis as a resource. This article contributes a qualitative assessment of normalization to the literature through an examination of both a database of cannabis tourism-related businesses and the narratives of suppliers in the cannabis tourism industry. Tourism is conceptualized as an agent of normalization by illustrating how it facilitates the accessibility and availability, everyday prevalence, increased tolerance, and social and cultural accommodation of cannabis © 2021. Cognizant, LLC"
S,Cornell B.; Damodaran A.,"In entrepreneurs’ minds, big markets offer the promise of easily scalable revenues that, coupled with profitability, can translate into large profits. This article examines how the “big market promise” affects business formation and financing, with a focus on the role of overconfidence on the part of both entrepreneurs and their financiers (venture capitalists and public equity) in creating a collective overpricing of companies in alleged big markets—and an inevitable correction. Three case studies illustrate this thesis—one in which the process has fully played out (1990s dot-com retail), one in which it has been unfolding for a while (online advertising), and one in which it is just beginning (the cannabis market). We suggest several lessons for investors, regulators, and businesses based on these case studies. © 2020, © 2020, CFA Institute."
S,Opie S.R.,"In the United States, obtaining a cannabis business license is a requirement to open a cannabis safety testing laboratory in most states that have legalized medical and/or recreational marijuana consumption. The licensing process begins by preparing an application. Submitting a comprehensive application is time consuming and benefits from the input of an experienced and multidisciplinary team. The team should include people with areas of knowledge in finance, architecture, construction, security, laboratory operations, laboratory compliance, and laboratory safety. Building a strong team and gathering the information and documentation is a costly, time consuming, and challenging task. However, the team will be able to help assemble a large amount of supporting documentation including legal and financial disclosures and a prospective facility and operations plan. Having a comprehensive understanding of the timing and content of an application will help an investor understand the time and financial commitment before the decision to apply for a cannabis laboratory business license is made. © Springer Nature Switzerland AG 2021. All rights reserved."
S,Calonge N.,"Since legalization of recreational marijuana use in 2012, Colorado has been a site of regulatory experimentation to support commercial sales. The path to legal recreational use began with a series of policy events that expanded the state’s medical marijuana program to include the creation of dispensaries and significantly increase the number of registered users. Voters convincingly passed a constitutional amendment that permitted commercial sale of recreational marijuana, and the state has created a regulatory model, based on a private business model, to address potential negative impacts. Colorado has used state- and local-level licensing, statues, and regulations to address regulatory challenges regarding product potency, cannabis edibles, worksite and worker issues, impaired driving, commercial growing operations, locations of outlets and sites of use, and other policy issues. Jurisdictions considering recreational legalizations should consider a “harm reduction” approach to regulation that is responsive to addressing evolving adverse effects and addresses child safety, traffic safety, cannabis product safety, work and worksite safety, and other aspects of the business model in order to provide a careful approach to recreational use. © 2018, Springer Science+Business Media, LLC, part of Springer Nature."
S,Bowling C.; Glantz S.A.,"During the regulatory drafting process, California considered allowing police officers to become licensed owners of cannabis businesses, an action that would have codified a conflict of interest (COI), allowing police to exert influence in two market strata, enforcement and licensure. Up until then, no state specifically excepted law enforcement from COI prohibitions, making California’s proposed medical cannabis regulation unique. We performed two 50-state surveys and examined 298 public comments submitted to the Bureau of Cannabis Control during the initial medical cannabis rulemaking process in June 2017. After public comments, the Bureau withdrew this provision. However, that the exception was even considered is cause for concern in this new area of policy development. The progression from proposed medical cannabis rules to emergency rule adoption and now, into proposed final regulations, highlights the value of civic engagement with the rulemaking process. Jurisdictions should adopt bright-line COI rules within their cannabis codes that limit the relationships that law enforcement may have with the private cannabis markets. © 2019, © 2019 Taylor & Francis Group, LLC."
S,Owens-Ott G.S.; Snyder J.; Ott R.,"Background: Certified public accountants must follow very high standards of ethical conduct as set forth by the AICPA Code of Professional Conduct and individual state licensing requirements. A 2019 grounded theory qualitative study posed that CPAs remain largely hesitant to serve the cannabis industry primarily because they fear federal prosecution as long as cannabis remains on the DEA’s Schedule I Drug List. The purpose of this research was to determine the perceptions of CPAs regarding providing accounting services to the cannabis industry in states that have legalized cannabis usage. This study investigated whether CPAs would serve the industry, why they might decline to serve the industry, what risks they believe serving the industry posed, and whether they believe serving the cannabis industry would create a moral or ethical issue. Methods: This follow-up quantitative study investigated a small convenience sample of approximately one hundred CPAs in Colorado and Washington to learn more about their perceptions of serving the cannabis industry. Data was analyzed using chi-square and Mann-Whitney U tests to determine if there were any differences in perceptions between groups such as states, gender, and age categories. Results: Of the participants, 77% responded that neither they nor their firm provided services to a cannabis-related business client compared to 23% that did serve cannabis clients. More Colorado CPAs were willing to turn down CRB work than were expected and fewer Colorado CPAs would be willing to take on CRB clients than were expected. While in Washington, fewer CPAs would turn down RB clients than expected, and more are willing to accept CRB clients than were expected. The risk due to potential liability coverage issues due to serving the cannabis industry was rated the highest while the risk of losing the CPA license was rated lowest. Data indicated that there was not a statistically significant difference between Colorado and Washington participants related to whether they were morally or religiously opposed to working in the industry or if they viewed serving the industry as an ethical violation. Conclusion: CPAs remain largely unwilling to serve the cannabis industry primarily because CPAs fear federal prosecution as long as cannabis remains on the DEA’s Schedule I Drug Listing. The results of this study indicate that while most CPAs are not morally or religiously opposed to serving the industry, about half still believe doing so may constitute an ethical violation for a CPA. © 2022, The Author(s)."
S,Mancinelli R.; Altimari A.; Papetti P.; Radicetti E.,"Nowadays, the light hemp is promoted by different stakeholders and the customer’s preference due to the different use of crop products. The aim of this chapter was to discuss the Italian perspectives concerning the utilization of light hemp connected to customer’s preferences. It is discussed the sustainability of hemp crop to produce wellness products in Italy. It is applied as a cost model based on empirical data from hemp farmers. Customers’ preferences on light cannabis wellness products are analyzed through an online survey in Italy and other six European countries. A general misunderstanding about the differences between psychoactive hemp and nonpsychoactive hemp (light cannabis) makes the demand unstable. Light hemp business in Italy is new and there are a few studies that help entrepreneurs in assessing the attractiveness of certain investment analyzing the demand for such a product. Demand for CBD-based products indicates interest, but customers’ confusion highlights a lack of regulation and transparency about CBD-cannabis. © 2023 Elsevier Inc. All rights reserved."
